iter	Passed	Remaining
830	103277	21003
831	103407	20880
832	103539	20757
833	103672	20635
834	103807	20512
835	103934	20389
836	104034	20260
837	104132	20130
838	104267	20008
839	104402	19886
840	104497	19756
841	104629	19633
842	104767	19511
843	104868	19383
844	105003	19260
845	105135	19138
846	105265	19014
847	105359	18885
848	105488	18761
849	105611	18637
850	105745	18514
851	105875	18391
852	106009	18268
853	106148	18147
854	106285	18024
855	106376	17895
856	106525	17775
857	106625	17646
858	106762	17524
859	106858	17395
860	106991	17272
861	107132	17151
862	107265	17028
863	107403	16906
864	107541	16784
865	107629	16653
866	107774	16532
867	107870	16404
868	108002	16281
869	108103	16153
870	108201	16025
871	108325	15901
872	108469	15779
873	108609	15657
874	108741	15534
875	108875	15411
876	109004	15288
877	109137	15164
878	109235	15037
879	109375	14914
880	109512	14792
881	109610	14664
882	109755	14542
883	109885	14419
884	110015	14295
885	110149	14172
886	110286	14049
887	110379	13921
888	110519	13799
889	110651	13676
890	110743	13547
891	110875	13424
892	111006	13300
893	111134	13177
894	111231	13049
895	111362	12925
896	111490	12802
897	111620	12678
898	111719	12551
899	111824	12424
900	111922	12297
901	112075	12176
902	112177	12050
903	112312	11927
904	112441	11803
905	112582	11680
906	112714	11557
907	112854	11434
908	112976	11310
909	113103	11186
910	113240	11062
911	113344	10936
912	113485	10814
913	113618	10690
914	113712	10563
915	113843	10439
916	113979	10316
917	114112	10193
918	114205	10066
919	114348	9943
920	114492	9820
921	114627	9697
922	114749	9572
923	114874	9448
924	115001	9324
925	115130	9200
926	115231	9074
927	115371	8951
928	115504	8827
929	115637	8703
930	115734	8577
931	115865	8453
932	115993	8329
933	116121	8205
934	116241	8080
935	116341	7954
936	116458	7830
937	116592	7706
938	116721	7582
939	116852	7458
940	116990	7335
941	117119	7211
942	117256	7087
943	117399	6964
944	117526	6840
945	117670	6716
946	117804	6593
947	117936	6469
948	118068	6345
949	118199	6221
950	118325	6096
951	118466	5973
952	118560	5847
953	118688	5722
954	118785	5597
955	118888	5471
956	118993	5346
957	119126	5222
958	119221	5097
959	119316	4971
960	119456	4847
961	119556	4722
962	119685	4598
963	119784	4473
964	119915	4349
965	120041	4225
966	120134	4099
967	120237	3974
968	120365	3850
969	120494	3726
970	120640	3603
971	120736	3478
972	120841	3353
973	120942	3228
974	121075	3104
975	121192	2980
976	121321	2856
977	121409	2731
978	121546	2607
979	121638	2482
980	121761	2358
981	121887	2234
982	121983	2109
983	122117	1985
984	122217	1861
985	122353	1737
986	122489	1613
987	122578	1488
988	122680	1364
989	122811	1240
990	122907	1116
991	123019	992
992	123156	868
993	123251	743
994	123388	620
995	123480	495
996	123618	371
997	123754	248
998	123854	123
999	123982	0
